Time,VWC,UG2AG,UG2UG
'11/11/19 09:47:29',41.15,-73,
'11/11/19 09:47:29',41.15,-73,
'11/11/19 10:02:29',41.18,-73,
'11/11/19 10:02:29',41.18,-74,
'11/11/19 10:17:29',41.18,-73,
'11/11/19 10:17:29',41.18,-74,
'11/11/19 10:32:29',41.18,-74,
'11/11/19 10:32:30',41.18,-74,
'11/11/19 10:47:29',41.2,-74,
'11/11/19 10:47:29',41.2,-75,
'11/11/19 11:02:29',41.18,-73,
'11/11/19 11:02:30',41.18,-74,
'11/11/19 11:17:29',41.2,-74,
'11/11/19 11:17:29',41.2,-74,
'11/11/19 11:32:29',41.18,-74,
'11/11/19 11:32:29',41.18,-74,
'11/11/19 11:47:28',41.26,-74,
'11/11/19 11:47:29',41.26,-81,
'11/11/19 12:02:28',46.71,-80,
'11/11/19 12:02:30',46.71,-79,
'11/11/19 12:17:29',45.74,-80,
'11/11/19 12:17:29',45.74,-83,
'11/11/19 12:32:29',45.41,-81,
'11/11/19 12:32:29',45.41,-80,
'11/11/19 12:47:28',45.24,-82,
'11/11/19 12:47:29',45.24,-83,
'11/11/19 13:02:29',45.08,-80,
'11/11/19 13:02:29',45.08,-81,
'11/11/19 13:17:29',44.89,-82,
'11/11/19 13:17:29',44.89,-82,
'11/11/19 13:32:28',44.8,-80,
'11/11/19 13:32:29',44.8,-83,
'11/11/19 13:47:28',44.46,-83,
'11/11/19 13:47:29',44.46,-84,
'11/11/19 14:02:29',44.27,-85,
'11/11/19 14:02:29',44.27,-82,
'11/11/19 14:17:29',44.24,-84,
'11/11/19 14:17:29',44.24,-85,
'11/11/19 14:32:29',44.11,-82,
'11/11/19 14:47:29',44,-84,
'11/11/19 14:47:29',44,-85,
'11/11/19 15:02:29',43.95,-85,
'11/11/19 15:17:29',43.79,-84,
'11/11/19 15:32:29',43.73,-84,
'11/11/19 15:47:29',43.73,-84,
'11/11/19 15:47:29',43.73,-84,
'11/11/19 16:02:29',43.66,-85,
'11/11/19 16:02:29',43.66,-85,
'11/11/19 16:17:29',43.61,-83,
'11/11/19 16:17:29',43.61,-84,
'11/11/19 16:32:29',43.58,-83,
'11/11/19 16:32:29',43.58,-82,
'11/11/19 16:47:29',43.58,-83,
'11/11/19 17:02:29',43.53,-81,
'11/11/19 17:02:29',43.53,-81,
'11/11/19 17:17:29',43.48,-83,
'11/11/19 17:17:29',43.48,-84,
'11/11/19 17:32:29',43.45,-82,
'11/11/19 17:32:29',43.45,-83,
'11/11/19 17:47:29',43.45,-82,
'11/11/19 17:47:29',43.45,-83,
'11/11/19 18:02:29',43.4,-81,
'11/11/19 18:02:29',43.4,-81,
'11/11/19 18:17:29',43.42,-81,
'11/11/19 18:17:29',43.42,-80,
'11/11/19 18:32:29',43.28,-80,
'11/11/19 18:32:30',43.28,-80,
'11/11/19 18:47:29',43.17,-79,
'11/11/19 18:47:29',43.17,-82,
'11/11/19 19:02:29',43.13,-84,
'11/11/19 19:02:30',43.13,-83,
'11/11/19 19:17:29',43.13,-81,
'11/11/19 19:17:29',43.13,-80,
'11/11/19 19:32:29',43.05,-80,
'11/11/19 19:32:29',43.05,-80,
'11/11/19 19:47:29',43.07,-81,
'11/11/19 19:47:29',43.07,-81,
'11/11/19 20:02:29',43.02,-79,
'11/11/19 20:02:29',43.02,-81,
'11/11/19 20:17:29',42.95,-80,
'11/11/19 20:17:29',42.95,-80,
'11/11/19 20:32:29',42.98,-80,
'11/11/19 20:32:29',42.98,-79,
'11/11/19 20:47:29',42.9,-80,
'11/11/19 20:47:29',42.9,-80,
'11/11/19 21:02:29',42.92,-80,
'11/11/19 21:02:29',42.92,-80,
'11/11/19 21:17:29',42.81,-80,
'11/11/19 21:17:29',42.81,-80,
'11/11/19 21:32:29',42.85,-80,
'11/11/19 21:32:29',42.85,-80,
'11/11/19 21:47:29',42.85,-80,
'11/11/19 21:47:29',42.85,-80,
'11/11/19 22:02:29',42.86,-79,
'11/11/19 22:02:29',42.86,-81,
'11/11/19 22:17:29',42.8,-80,
'11/11/19 22:17:29',42.8,-80,
'11/11/19 22:32:29',42.76,-80,
'11/11/19 22:32:29',42.76,-80,
'11/11/19 22:47:29',42.81,-80,
'11/11/19 22:47:30',42.81,-80,
'11/11/19 23:02:29',42.8,-79,
'11/11/19 23:02:29',42.8,-79,
'11/11/19 23:17:29',42.71,-80,
'11/11/19 23:17:30',42.71,-81,
'11/11/19 23:47:29',42.68,-80,
'11/11/19 23:47:30',42.68,-80,
'12/11/19 00:02:29',42.63,-80,
'12/11/19 00:02:30',42.63,-81,
'12/11/19 00:17:29',42.66,-80,
'12/11/19 00:17:30',42.66,-80,
'12/11/19 00:32:29',42.64,-80,
'12/11/19 00:32:30',42.64,-81,
'12/11/19 00:47:29',42.66,-79,
'12/11/19 00:47:30',42.66,-80,
'12/11/19 01:02:29',42.57,-80,
'12/11/19 01:02:30',42.57,-80,
'12/11/19 01:17:29',42.64,-80,
'12/11/19 01:17:30',42.64,-80,
'12/11/19 01:32:29',42.59,-80,
'12/11/19 01:32:30',42.59,-80,
'12/11/19 01:47:29',42.57,-79,
'12/11/19 01:47:30',42.57,-80,
'12/11/19 02:02:29',42.56,-80,
'12/11/19 02:02:30',42.56,-80,
'12/11/19 02:17:29',42.54,-80,
'12/11/19 02:17:30',42.54,-80,
'12/11/19 02:32:29',42.54,-80,
'12/11/19 02:32:30',42.54,-80,
'12/11/19 02:47:29',42.54,-81,
'12/11/19 02:47:31',42.54,-80,
'12/11/19 03:02:29',42.47,-80,
'12/11/19 03:02:30',42.47,-80,
'12/11/19 03:17:29',42.47,-80,
'12/11/19 03:17:30',42.47,-80,
'12/11/19 03:32:20',42.43,-79,
'12/11/19 03:47:20',42.43,-80,
'12/11/19 04:02:20',42.43,-79,
'12/11/19 04:17:20',42.4,-79,
'12/11/19 04:32:20',42.4,-80,
'12/11/19 04:47:19',42.4,-79,
'12/11/19 05:02:20',42.4,-81,
'12/11/19 05:17:19',42.37,-79,
'12/11/19 05:32:20',42.37,-78,
'12/11/19 05:47:20',42.37,-80,
'12/11/19 06:02:20',42.37,-80,
'12/11/19 06:17:19',42.34,-79,
'12/11/19 06:32:19',42.34,-80,
'12/11/19 06:47:20',42.34,-79,
'12/11/19 07:02:20',42.34,-79,
'12/11/19 07:17:20',42.31,-80,
'12/11/19 07:32:20',42.31,-80,
'12/11/19 07:47:20',42.31,-79,
'12/11/19 08:02:19',42.31,-80,
'12/11/19 08:17:19',42.31,-79,
'12/11/19 08:32:20',42.28,-82,
'12/11/19 08:47:20',42.28,-80,
'12/11/19 09:02:19',42.28,-80,
'12/11/19 09:17:20',42.28,-79,
'12/11/19 09:32:20',42.28,-80,
'12/11/19 09:47:19',42.25,-79,
'12/11/19 10:02:20',42.28,-79,
'12/11/19 10:17:19',42.25,-80,
'12/11/19 10:32:20',42.25,-80,
'12/11/19 10:47:19',42.25,-78,
'12/11/19 11:02:20',42.25,-80,
'12/11/19 11:17:19',42.25,-80,
'12/11/19 11:32:20',42.25,-80,
'12/11/19 11:47:20',42.25,-78,
'12/11/19 12:02:20',42.22,-78,
'12/11/19 12:17:20',42.25,-80,
'12/11/19 12:32:20',42.25,-80,
'12/11/19 12:47:19',42.22,-80,
'12/11/19 13:02:20',42.22,-79,
'12/11/19 13:17:20',42.22,-79,
'12/11/19 13:32:20',42.22,-78,
'12/11/19 13:47:20',42.22,-79,
'12/11/19 14:02:20',42.19,-80,
'12/11/19 14:17:20',42.19,-80,
'12/11/19 14:32:20',42.19,-80,
'12/11/19 14:47:20',42.19,-77,
'12/11/19 15:02:21',42.19,-79,
'12/11/19 15:17:20',42.19,-80,
'12/11/19 15:32:20',42.19,-79,
'12/11/19 15:47:21',42.17,-77,
'12/11/19 16:02:20',42.17,-78,
'12/11/19 16:17:19',42.17,-78,
'12/11/19 16:32:20',42.17,-78,
'12/11/19 16:47:20',42.14,-77,
'12/11/19 17:02:20',42.17,-78,
'12/11/19 17:17:20',42.14,-78,
'12/11/19 17:32:20',42.14,-77,
'12/11/19 17:47:20',42.14,-78,
'12/11/19 18:02:20',42.14,-78,
'12/11/19 18:17:20',42.14,-78,
'12/11/19 18:32:20',42.14,-78,
'12/11/19 18:47:20',42.14,-77,
'12/11/19 19:02:20',42.14,-78,
'12/11/19 19:17:19',42.14,-78,
'12/11/19 19:32:20',42.11,-81,
'12/11/19 19:47:19',42.11,-78,
'12/11/19 20:02:20',42.11,-78,
'12/11/19 20:17:20',42.11,-77,
'12/11/19 20:32:20',42.08,-79,
'12/11/19 20:47:20',42.11,-78,
'12/11/19 21:02:20',42.08,-78,
'12/11/19 21:17:20',42.08,-78,
'12/11/19 21:32:20',42.08,-77,
'12/11/19 21:47:20',42.08,-77,
'12/11/19 22:02:20',42.08,-77,
'12/11/19 22:17:21',42.08,-76,
'12/11/19 22:32:20',42.08,-78,
'12/11/19 22:47:20',42.08,-76,
'12/11/19 23:02:20',42.05,-77,
'12/11/19 23:17:20',42.05,-75,
'12/11/19 23:32:20',42.05,-77,
'12/11/19 23:47:20',42.05,-76,
'13/11/19 00:02:20',42.05,-77,
'13/11/19 00:17:20',42.05,-77,
'13/11/19 00:32:20',42.05,-75,
'13/11/19 00:47:20',42.05,-75,
'13/11/19 01:02:20',42.05,-77,
'13/11/19 01:17:20',42.02,-78,
'13/11/19 01:32:20',42.02,-77,
'13/11/19 01:47:20',42.02,-77,
'13/11/19 02:02:20',42.02,-77,
'13/11/19 02:17:20',42.02,-76,
'13/11/19 02:32:20',42.02,-77,
'13/11/19 02:47:20',42.02,-77,
'13/11/19 03:02:20',42.02,-77,
'13/11/19 03:17:20',42.02,-76,
'13/11/19 03:32:21',41.99,-77,
'13/11/19 03:47:20',41.99,-78,
'13/11/19 04:02:20',41.99,-78,
'13/11/19 04:17:20',41.99,-77,
'13/11/19 04:32:20',41.99,-76,
'13/11/19 04:47:19',41.99,-77,
'13/11/19 05:02:20',41.99,-78,
'13/11/19 05:17:20',41.99,-77,
'13/11/19 05:32:20',41.96,-77,
'13/11/19 05:47:20',41.99,-76,
'13/11/19 06:02:20',41.99,-78,
'13/11/19 06:17:20',41.96,-77,
'13/11/19 06:32:20',41.96,-78,
'13/11/19 06:47:20',41.96,-77,
'13/11/19 07:02:20',41.96,-77,
'13/11/19 07:17:20',41.96,-77,
'13/11/19 07:32:20',41.96,-77,
'13/11/19 07:47:20',41.96,-77,
'13/11/19 08:02:20',41.96,-78,
'13/11/19 08:17:20',41.96,-77,
'13/11/19 08:32:20',41.96,-77,
'13/11/19 08:47:22',41.96,-77,
'13/11/19 09:02:20',41.93,-77,
'13/11/19 09:17:20',41.93,-77,
'13/11/19 09:32:20',41.93,-76,
'13/11/19 09:47:20',41.93,-77,
'13/11/19 10:02:20',41.93,-78,
'13/11/19 10:17:20',41.93,-78,
'13/11/19 10:32:20',41.93,-76,
'13/11/19 10:47:20',41.93,-77,
'13/11/19 11:02:21',41.93,-77,
'13/11/19 11:17:20',41.93,-78,
'13/11/19 11:32:20',41.93,-77,
'13/11/19 11:47:20',41.93,-78,
'13/11/19 12:02:20',41.93,-79,
'13/11/19 12:17:20',41.9,-77,
'13/11/19 12:32:20',41.93,-77,
'13/11/19 12:47:20',41.93,-78,
'13/11/19 13:02:20',41.93,-78,
'13/11/19 13:17:20',41.9,-78,
'13/11/19 13:32:20',41.93,-78,
'13/11/19 13:47:20',41.9,-77,
'13/11/19 14:02:20',41.9,-77,
'13/11/19 14:17:20',41.9,-78,
'13/11/19 14:32:20',41.9,-77,
'13/11/19 14:47:20',41.9,-77,
'13/11/19 15:02:20',41.9,-78,
'13/11/19 15:17:20',41.9,-77,
'13/11/19 15:32:20',41.9,-76,
'13/11/19 15:47:20',41.9,-78,
'13/11/19 16:02:20',41.9,-76,
'13/11/19 16:17:20',41.87,-78,
'13/11/19 16:32:20',41.9,-77,
'13/11/19 16:47:20',41.9,-77,
'13/11/19 17:02:20',41.87,-78,
'13/11/19 17:17:20',41.9,-77,
'13/11/19 17:32:20',41.87,-78,
'13/11/19 17:47:20',41.87,-77,
'13/11/19 18:02:20',41.87,-77,
'13/11/19 18:17:20',41.87,-77,
'13/11/19 18:32:21',41.87,-77,
'13/11/19 18:47:20',41.87,-77,
'13/11/19 19:02:21',41.87,-77,
'13/11/19 19:17:20',41.87,-78,
'13/11/19 19:32:20',41.87,-77,
'13/11/19 19:47:20',41.87,-76,
'13/11/19 20:02:21',41.87,-77,
'13/11/19 20:17:20',41.87,-76,
'13/11/19 20:32:20',41.87,-77,
'13/11/19 20:47:20',41.84,-76,
'13/11/19 21:02:21',41.84,-77,
'13/11/19 21:17:20',41.84,-78,
'13/11/19 21:32:21',41.84,-76,
'13/11/19 21:47:20',41.84,-76,
'13/11/19 22:02:20',41.84,-77,
'13/11/19 22:17:20',41.84,-77,
'13/11/19 22:32:21',41.84,-76,
'13/11/19 22:47:20',41.84,-77,
'13/11/19 23:02:21',41.84,-77,
'13/11/19 23:17:21',41.84,-78,
'13/11/19 23:32:21',41.84,-75,
'13/11/19 23:47:20',41.84,-77,
'14/11/19 00:02:21',41.81,-76,
'14/11/19 00:17:21',41.81,-77,
'14/11/19 00:32:21',41.81,-76,
'14/11/19 00:47:21',41.81,-76,
'14/11/19 01:02:21',41.81,-75,
'14/11/19 01:17:21',41.84,-76,
'14/11/19 01:32:21',41.81,-76,
'14/11/19 01:47:21',41.81,-77,
'14/11/19 02:02:21',41.81,-75,
'14/11/19 02:17:21',41.81,-77,
'14/11/19 02:32:21',41.81,-76,
'14/11/19 02:47:21',41.81,-75,
'14/11/19 03:02:21',41.81,-75,
'14/11/19 03:17:21',41.81,-76,
'14/11/19 03:32:21',41.79,-74,
'14/11/19 03:47:21',41.81,-75,
'14/11/19 04:02:21',41.79,-76,
'14/11/19 04:17:21',41.79,-75,
'14/11/19 04:32:21',41.79,-75,
'14/11/19 04:47:21',41.81,-75,
'14/11/19 05:02:21',41.79,-75,
'14/11/19 05:17:21',41.79,-76,
'14/11/19 05:32:21',41.79,-75,
'14/11/19 05:47:21',41.79,-75,
'14/11/19 06:02:22',41.79,-75,
'14/11/19 06:17:21',41.79,-75,
'14/11/19 06:32:22',41.79,-77,
'14/11/19 06:47:21',41.76,-76,
'14/11/19 07:02:21',41.79,-75,
'14/11/19 07:17:21',41.79,-75,
'14/11/19 07:32:21',41.76,-76,
'14/11/19 07:47:21',41.76,-74,
'14/11/19 08:02:21',41.79,-75,
'14/11/19 08:17:21',41.76,-75,
'14/11/19 08:32:21',41.76,-74,
'14/11/19 08:47:21',41.76,-74,
'14/11/19 09:02:21',41.76,-75,
'14/11/19 09:17:53',41.76,-74,
'14/11/19 09:32:21',41.76,-74,
'14/11/19 09:47:21',41.76,-76,
'14/11/19 10:02:21',41.76,-74,
'14/11/19 10:17:21',41.76,-76,
'14/11/19 10:32:21',41.73,-75,
'14/11/19 10:47:21',41.76,-75,
'14/11/19 11:02:21',41.76,-74,
'14/11/19 11:17:21',41.76,-75,
'14/11/19 11:32:26',41.73,-75,
'14/11/19 11:47:21',41.73,-74,
'14/11/19 12:02:21',41.73,-77,
'14/11/19 12:17:21',41.73,-76,
'14/11/19 12:32:21',41.73,-76,
'14/11/19 12:47:21',41.73,-75,
'14/11/19 13:02:21',41.73,-76,
'14/11/19 13:17:21',41.76,-76,
'14/11/19 13:32:21',41.73,-78,
'14/11/19 13:47:21',41.76,-77,
'14/11/19 14:02:21',41.73,-78,
'14/11/19 14:17:21',41.73,-76,
'14/11/19 14:32:21',41.73,-77,
'14/11/19 14:47:21',41.73,-75,
'14/11/19 15:02:21',41.73,-77,
'14/11/19 15:17:21',41.73,-76,
'14/11/19 15:32:23',41.73,-76,
'14/11/19 15:47:21',41.73,-77,
'14/11/19 16:02:21',41.73,-76,
'14/11/19 16:17:21',41.73,-76,
'14/11/19 16:32:21',41.73,-76,
'14/11/19 16:47:21',41.73,-76,
'14/11/19 17:02:21',41.7,-77,
'14/11/19 17:17:21',41.73,-76,
'14/11/19 17:32:21',41.7,-77,
'14/11/19 17:47:21',41.7,-77,
'14/11/19 18:02:22',41.7,-76,
'14/11/19 18:17:21',41.7,-76,
'14/11/19 18:32:21',41.7,-75,
'14/11/19 18:47:21',41.7,-76,
'14/11/19 19:02:21',41.7,-75,
'14/11/19 19:17:21',41.7,-75,
'14/11/19 19:32:21',41.7,-77,
'14/11/19 19:47:21',41.7,-76,
'14/11/19 20:02:21',41.7,-77,
'14/11/19 20:17:21',41.7,-75,
'14/11/19 20:32:21',41.7,-76,
'14/11/19 20:47:21',41.7,-75,
'14/11/19 21:02:21',41.7,-74,
'14/11/19 21:17:21',41.67,-75,
'14/11/19 21:32:21',41.7,-75,
'14/11/19 21:47:21',41.7,-76,
'14/11/19 22:02:21',41.7,-74,
'14/11/19 22:17:21',41.7,-75,
'14/11/19 22:32:21',41.67,-75,
'14/11/19 22:47:21',41.7,-74,
'14/11/19 23:02:21',41.67,-76,
'14/11/19 23:17:21',41.67,-75,
