Time,VWC,UG2AG,UG2UG
'15/11/19 16:02:21',41.61,-76,
'15/11/19 16:02:23',41.61,-76,
'15/11/19 16:17:21',41.61,-75,
'15/11/19 16:17:22',41.61,-74,
'15/11/19 16:32:21',41.61,-74,
'15/11/19 16:32:22',41.61,-76,
'15/11/19 16:47:21',41.61,-77,
'15/11/19 16:47:22',41.61,-76,
'15/11/19 17:02:21',41.61,-76,
'15/11/19 17:02:22',41.61,-76,
'15/11/19 17:17:21',41.61,-76,
'15/11/19 17:17:22',41.61,-75,
'15/11/19 17:32:21',41.61,-75,
'15/11/19 17:32:23',41.61,-76,
'15/11/19 17:47:21',41.61,-75,
'15/11/19 17:47:22',41.61,-76,
'15/11/19 18:02:21',41.61,-76,
'15/11/19 18:17:21',41.61,-76,
'15/11/19 18:17:23',41.61,-76,
'15/11/19 18:32:21',41.61,-77,
'15/11/19 18:32:22',41.61,-75,
'15/11/19 18:47:21',41.61,-76,
'15/11/19 18:47:22',41.61,-75,
'15/11/19 19:02:21',41.61,-76,
'15/11/19 19:02:22',41.61,-76,
'15/11/19 19:17:21',41.61,-74,
'15/11/19 19:17:22',41.61,-76,
'15/11/19 19:32:21',41.61,-75,
'15/11/19 19:32:22',41.61,-77,
'15/11/19 19:47:21',41.61,-75,
'15/11/19 19:47:22',41.61,-76,
'15/11/19 20:02:21',41.61,-75,
'15/11/19 20:02:22',41.61,-77,
'15/11/19 20:17:21',41.61,-75,
'15/11/19 20:17:22',41.58,-77,
'15/11/19 20:32:21',41.58,-77,
'15/11/19 20:32:22',41.61,-77,
'15/11/19 20:47:21',41.61,-76,
'15/11/19 20:47:23',41.61,-76,
'15/11/19 21:02:21',41.61,-76,
'15/11/19 21:02:22',41.61,-77,
'15/11/19 21:17:21',41.61,-76,
'15/11/19 21:17:22',41.61,-78,
'15/11/19 21:32:21',41.61,-76,
'15/11/19 21:32:22',41.58,-77,
'15/11/19 21:47:21',41.58,-76,
'15/11/19 21:47:22',41.58,-76,
'15/11/19 22:02:21',41.58,-76,
'15/11/19 22:02:22',41.58,-76,
'15/11/19 22:17:21',41.58,-76,
'15/11/19 22:17:22',41.58,-77,
'15/11/19 22:32:21',41.58,-76,
'15/11/19 22:47:21',41.61,-75,
'15/11/19 23:02:21',41.58,-76,
'15/11/19 23:17:21',41.61,-77,
'15/11/19 23:32:21',41.58,-75,
'15/11/19 23:47:21',41.58,-76,
'16/11/19 00:02:21',41.58,-76,
'16/11/19 00:17:21',41.58,-75,
'16/11/19 00:32:22',41.58,-76,
'16/11/19 00:47:21',41.58,-75,
'16/11/19 01:02:21',41.58,-75,
'16/11/19 01:17:21',41.58,-75,
'16/11/19 01:32:21',41.58,-76,
'16/11/19 01:47:21',41.58,-76,
'16/11/19 02:02:21',41.58,-75,
'16/11/19 02:17:21',41.58,-76,
'16/11/19 02:32:21',41.58,-76,
'16/11/19 02:47:21',41.58,-76,
'16/11/19 03:02:21',41.58,-77,
'16/11/19 03:17:21',41.55,-76,
